Designator,Quantity,Vendor,Description,Manufacturer,Value,Part_Number
ANT1,1,Digi-Key,RF ANT 2.4GHZ STAMPED MET SLD,Proant AB,RF ANT 2.4GHZ STAMPED MET SLD,PRO-OB-440
"C1, C2, C4, C10, C22",5,LCSC,CAP 0.1uF 16V 0402,Yageo,0.1uF,C60474
C3,1,LCSC,CAP 1.5pF 0402,Dafron,1.5pF,C147344
"C5, C6, C12",3,LCSC,CAP 0.1uF 16V 0402,Samsung,1uF,C29266
"C7, C8, C11, C16, C17",5,LCSC,CAP 10uF 16V 0805,Murata,10uF,C162317
"C9, C15",2,LCSC,"CAP 150uF, 10V SMT",Suncon,150uF,C242018
C13,1,LCSC,CAP 4.7uF 16V 0402,Samsung,4.7uF,C318563
C14,1,LCSC,CAP 2.2uF 16V 0402,Samsung,2.2uF,C170151
C20,1,LCSC,CAP 22nF 16V 0402,Samsung,22nF,C318579
D1,1,LCSC,LED Green 0603,Orient,Green,C205443
F1,1,LCSC,6V 1A 100ms 0805 PTC Resettable Fuse,TLC,1A Fuse,C261942
H1,1,LCSC,"CONN HEADER 4X2 POS .100"" RA",MINTRON,Male 4X2,C358706
J1,1,Digi-Key,"9 (8 + 1) microSD SMT, Right Angle",Molex,MicroSD,0473092851
J2,1,LCSC,CONN RECPT MICRO USB,XKB,Micro USB,C319170
L1,1,LCSC,Inductor 2.2uH 1.45A 2.0 x 2.0mm,Taiyo Yuden,2.2uH,C90329
M1,1,Aliexpress,"MTR,LINEAR,SMT",,Linear Motor,shorturl.at/cQ269
Q1,1,LCSC,TRANS 2NPN 44V 0.1A SC-70-6,Changjiang,BC847S,C148112
"R1, R2, R3, R4, R5, R7, R13, R15, R17, R18, R19, R23, R24, R25, R28, R31, R32, R34, R37",19,LCSC,RES 10K 0402,Uniroyal,10K,C25744
R6,1,LCSC,RES 22.1K 0402,Uniroyal,22.1K,C43473
"R8, R9",2,LCSC,RES 2K 0402,Uniroyal,2K,C4109
R10,1,LCSC,RES 390K 0402,Uniroyal,390K,C25782
"R11, R21, R38",3,LCSC,RES 0R 0402,Uniroyal,0R,C17168
R12,1,LCSC,RES 47K 0402,Uniroyal,47K,C25792
R14,1,LCSC,RES 100K 0402,Uniroyal,100K,C25741
R16,1,LCSC,RES 49.9K 0402,Uniroyal,49.9K,C25897
R20,1,LCSC,RES 90.9K 0402,Uniroyal,90.9K,C26989
R22,1,LCSC,RES 4.99K 0402,Uniroyal,4.99K,C25903
R27,1,LCSC,RES 1K 0402,Uniroyal,1K,C11702
"R29, R30",2,LCSC,RES 0.2R 0402,Uniroyal,0.2R,C270629
R33,1,LCSC,RES 470R 0402,Uniroyal,470R,C25117
"R35, R36",2,LCSC,RES 22R 0402,Uniroyal,22R,C25092
S1,1,LCSC,Toggle Switch Thu Hole,XKB,Toggle Switch,C381099
"S2, S4",2,LCSC,"Switch SMD,3x4x2.5mm",Xunpu,Pushbutton,C455281
S3,1,LCSC,"SWITCH DETECT, DUAL, SMD,R/A",Alps,Limit Switch,C231760
U1,1,LCSC,IC BRIDGE USB TO UART 24QFN,Silicon Labs,CP2104N,CP2104-F03-GMR
U2,1,LCSC,"WIFI/Bluetooth, QFN-48 7x7",Espressif,ESP32-PICO-D4,ESP32-PICO-D4
U3,1,LCSC,IC LDO 3.3V 0.5A SOT23-5,Holtek,HT7833,C164106
U4,1,LCSC,IC DC SWITCHING REG 1A SOT23-5,Richtek,Step Down,RT8096CHGJ5
U5,1,Digi-Key,IC STEPPER MOTOR DRIVER 16-VFQFPN(3x3),ST Micro,,STSPIN220
U6,1,LCSC,"IC,LED DRIVER,1-CH,350MA,SOT23-6",DIODES INC,BCR420UW6-7,BCR420UW6-7
U7,1,LCSC,TVS 5V SOT-363,Yenji,ESD,PESD5V0L5UY
X1,1,Buy-Display,96x16 OLED_GLASS,,,ER-OLED0.69-1W
